Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Dornbirn - Amstetten 1:0,Austria. 2. Liga,2023-09-15,CF,100,63,31,0,0,1,1,0.14,18,13,4,3,1,0,2,1,36,16,17,7,2,13,3,3,1,76,0
Dornbirn - Bregenz 0:5,Austria. 2. Liga,2023-08-25,CF,47,24,9,0,0,0,0,0.0,8,6,0,0,0,0,1,1,10,3,2,1,2,5,0,4,3,0,45
Dornbirn - Admira 1:0,Austria. 2. Liga,2023-08-19,CF,98,84,31,0,0,6,0,0.54,9,5,0,0,0,0,5,2,55,25,11,7,2,22,2,4,3,87,0
Porto - Maguary PE 1:1,Brazil. Pernambucano 1,2023-04-01,"CF, LW",33,20,11,0,0,0,0,0.0,8,8,0,0,0,0,0,0,10,3,3,0,0,4,0,1,0,0,0
Petrolina - Porto 1:0,Brazil. Pernambucano 1,2023-03-18,RWF,42,23,12,0,0,2,0,0.07,10,7,0,0,1,1,1,0,10,5,4,2,0,5,1,2,0,0,0
Porto - Íbis 2:1,Brazil. Pernambucano 1,2023-03-11,CF,46,29,15,0,0,0,0,0.0,11,9,1,0,2,0,1,0,15,6,4,1,0,8,1,0,0,0,0
Salgueiro - Porto 0:0,Brazil. Pernambucano 1,2023-02-28,CF,50,37,17,0,0,1,0,0.14,13,9,1,0,1,0,1,1,21,8,7,2,0,11,4,1,0,0,0
Santa Cruz - Botafogo PB 0:1,Brazil. Copa do Nordeste,2021-04-10,CF,19,13,5,0,0,0,0,0.0,5,5,0,0,0,0,2,0,6,0,1,0,1,3,0,0,0,0,0
Botafogo PB - Sampaio Corrêa 1:1,Brazil. Copa do Nordeste,2021-03-14,0,11,4,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
Bahia - Botafogo PB 1:1,Brazil. Copa do Nordeste,2021-03-06,"CF, RAMF",27,24,9,0,0,0,0,0.0,6,3,0,0,1,0,1,1,11,3,3,2,0,5,0,1,0,85,0
Botafogo PB - 4 de Julho 0:0,Brazil. Copa do Nordeste,2021-02-27,CF,48,30,9,0,0,0,0,0.0,5,5,0,0,1,1,1,0,17,3,4,1,1,5,1,0,0,0,0
Sampaio Corrêa - CRB 3:0,Brazil. Serie B,2020-12-05,CF,47,31,9,0,0,0,0,0.0,11,9,0,0,0,0,1,0,16,0,4,0,1,6,1,1,1,0,0
CRB - CSA 0:0,Brazil. Serie B,2020-12-01,CF,25,22,9,0,0,0,0,0.0,4,3,0,0,0,0,0,0,12,6,6,3,0,7,3,1,0,0,0
Brasil de Pelotas - CRB 2:1,Brazil. Serie B,2020-11-25,CF,23,10,3,0,0,1,1,0.28,2,1,0,0,0,0,1,1,5,1,0,0,1,3,0,0,0,0,0
Oeste - CRB 1:2,Brazil. Serie B,2020-11-13,CF,14,24,7,0,0,0,0,0.0,1,1,0,0,1,1,2,1,17,5,5,1,1,4,2,1,0,75,87
Cuiabá - CRB 3:0,Brazil. Serie B,2020-11-01,CF,20,14,10,0,0,1,0,0.45,6,6,0,0,0,0,0,0,6,4,2,1,0,2,0,1,0,0,0
Figueirense - CRB 2:0,Brazil. Serie B,2020-10-21,LW,20,12,4,0,0,1,0,0.1,2,2,0,0,0,0,0,0,9,2,6,1,1,7,2,2,2,0,0
CRB U23 - Grêmio U23 2:2,Brazil. Campeonato Brasileiro de Aspirantes U23,2020-10-18,CF,79,67,33,0,0,2,2,0.1,20,15,0,0,1,0,3,1,31,13,3,1,3,9,1,3,2,0,0
Remo - Independente PA 0:0,Brazil. Paraense,2020-03-14,0,20,13,6,0,0,0,0,0.0,2,2,0,0,0,0,0,0,8,3,1,0,0,5,3,0,0,0,0
Independente PA - Remo 1:2,Brazil. Paraense,2020-02-01,CF,96,45,16,0,0,0,0,0.0,11,7,0,0,0,0,0,0,26,8,8,1,2,17,3,4,3,0,0
