Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Estoril - Sporting Covilhã 0:0,Portugal. Segunda Liga,2021-01-18,GK,93,0,0.75,4,4,2,3,4,2,3,3,13,4,9
Sporting Covilhã - Benfica II 1:1,Portugal. Segunda Liga,2021-01-10,GK,98,1,0.14,2,1,0,1,8,5,9,9,7,2,5
Leixões - Sporting Covilhã 0:0,Portugal. Segunda Liga,2021-01-03,GK,94,0,0.58,1,1,1,2,1,1,9,8,11,11,0
Arouca - Sporting Covilhã 1:0,Portugal. Segunda Liga,2020-12-20,GK,96,1,0.8,3,2,0,0,2,2,4,4,11,3,8
Sporting Covilhã - Chaves 1:2,Portugal. Segunda Liga,2020-12-07,GK,95,2,1.4,3,1,1,0,4,2,9,9,7,4,3
Académica - Sporting Covilhã 2:1,Portugal. Segunda Liga,2020-11-29,GK,97,2,1.29,2,0,0,0,2,1,7,7,4,1,3
Casa Pia - Sporting Covilhã 0:1,Portugal. Segunda Liga,2020-11-07,GK,97,0,0.26,3,3,1,1,0,0,11,9,12,4,8
Sporting Covilhã - Porto II 4:0,Portugal. Segunda Liga,2020-10-31,GK,95,0,0.01,1,1,0,1,8,3,6,6,6,1,5
UD Oliveirense - Sporting Covilhã 1:2,Portugal. Segunda Liga,2020-10-25,GK,99,1,0.42,2,1,1,3,7,2,2,2,12,3,9
Sporting Covilhã - Vilafranquense 2:2,Portugal. Segunda Liga,2020-10-18,GK,95,2,1.44,2,0,0,4,9,5,8,8,3,0,3
Feirense - Sporting Covilhã 0:0,Portugal. Segunda Liga,2020-10-03,GK,98,0,2.02,9,9,3,2,9,8,3,3,7,1,6
Sporting Covilhã - Varzim 2:1,Portugal. Segunda Liga,2020-09-26,GK,99,1,0.29,2,1,1,1,5,3,5,5,4,1,3
Nacional - Penafiel 2:1,Portugal. Segunda Liga,2019-09-21,GK,113,2,1.56,4,2,0,0,2,1,6,6,11,5,6
Penafiel - Mafra 2:1,Portugal. Segunda Liga,2019-09-15,GK,97,1,0.66,4,3,1,1,9,7,6,6,11,0,11
Chaves - Penafiel 2:1,Portugal. Segunda Liga,2019-09-01,GK,95,2,1.92,4,2,1,2,3,1,7,7,6,0,6
Penafiel - Cova da Piedade 3:0,Portugal. Segunda Liga,2019-08-24,GK,95,0,0.0,0,0,0,5,5,5,7,7,10,2,8
Casa Pia - Penafiel 1:2,Portugal. Segunda Liga,2019-08-17,GK,98,1,0.1,3,2,1,2,5,1,6,6,10,1,9
Penafiel - Academico Viseu 0:2,Portugal. Segunda Liga,2019-08-11,GK,98,2,1.03,2,0,0,0,0,0,14,14,9,6,3
Portimonense - Marítimo 3:2,Portugal. Primeira Liga,2019-05-11,GK,100,2,1.88,3,1,1,1,10,8,12,12,4,3,1
Moreirense - Portimonense 2:0,Portugal. Primeira Liga,2018-11-09,GK,101,2,0.96,4,2,0,2,5,1,5,5,7,3,4
Portimonense - Belenenses 1:1,Portugal. Primeira Liga,2018-11-03,GK,100,1,0.81,3,2,1,0,3,1,3,3,11,1,10
Nacional - Portimonense 0:1,Portugal. Primeira Liga,2018-10-26,GK,96,0,0.61,3,3,1,1,4,1,2,2,12,1,11
Portimonense - Sporting CP 4:2,Portugal. Primeira Liga,2018-10-07,GK,100,2,2.34,5,3,2,1,13,7,0,0,19,0,19
Desportivo Aves - Portimonense 3:0,Portugal. Primeira Liga,2018-10-01,GK,95,3,1.55,4,1,1,1,5,2,9,9,8,5,3
Portimonense - Vitória Guimarães 3:2,Portugal. Primeira Liga,2018-09-23,GK,96,2,0.82,4,2,0,3,14,6,11,9,8,1,7
Portimonense - Paços de Ferreira 3:1,Portugal. Primeira Liga,2018-05-13,GK,98,1,1.82,4,3,3,8,14,11,9,9,13,0,13
Portimonense - Sporting CP 1:2,Portugal. Primeira Liga,2018-04-28,GK,95,2,1.36,6,4,3,2,10,8,4,4,8,0,8
Chaves - Portimonense 2:1,Portugal. Primeira Liga,2018-04-22,GK,94,2,2.74,10,8,6,4,5,4,5,5,7,2,5
Benfica - Portimonense 2:2,Portugal. Taça da Liga,2017-12-20,GK,98,2,1.77,3,1,0,1,8,6,7,7,12,6,6
Moura - Portimonense 0:0 (P),Portugal. Taça de Portugal,2017-10-15,GK,126,0,0.0,0,0,0,3,4,3,19,19,6,3,3
Portimonense - Porto 1:5,World. Club Friendlies,2017-07-27,GK,48,2,1.72,4,2,1,0,6,4,4,4,3,0,3
Olhanense - Portimonense 0:1,Portugal. Segunda Liga,2016-12-21,GK,99,0,0.19,1,1,1,1,6,4,1,1,9,1,8
Portimonense - Freamunde 3:0,Portugal. Segunda Liga,2016-12-17,GK,72,0,0.07,1,1,0,2,3,3,11,11,3,0,3
