Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Guarani - CSA 1:0,Brazil. Serie B,2018-09-23,LAMF,19,16,7,0,0,1,0,0.03,5,2,0,0,2,0,2,2,9,5,1,0,0,4,1,0,0,0,0
CSA - Vila Nova 1:2,Brazil. Serie B,2018-09-12,"AMF, LWF",26,23,11,0,0,3,0,0.14,8,6,0,0,0,0,4,2,9,4,1,1,0,3,0,2,1,0,0
Bahia - América Mineiro 1:0,Brazil. Serie A,2018-08-12,CF,50,28,10,0,0,0,0,0.0,10,8,0,0,0,0,1,0,11,2,1,0,1,5,1,1,1,0,0
Santos - América Mineiro 0:1,Brazil. Serie A,2018-07-30,CF,19,7,4,0,0,0,0,0.0,1,1,0,0,0,0,1,0,5,3,0,0,1,0,0,0,0,0,0
América Mineiro - Chapecoense 0:0,Brazil. Serie A,2018-06-13,CF,64,36,19,0,0,3,2,0.12,14,12,0,0,1,1,4,2,15,5,2,1,0,4,0,1,1,0,0
América Mineiro - Atlético Mineiro 1:3,Brazil. Serie A,2018-06-08,CF,47,26,8,0,0,3,0,0.34,8,5,0,0,1,0,0,0,12,3,1,0,0,6,1,1,0,0,0
América Mineiro - Atlético PR 3:1,Brazil. Serie A,2018-06-03,CF,85,41,12,0,1,2,1,0.4,7,4,0,0,2,1,5,2,17,6,4,0,3,7,3,1,0,0,0
Corinthians - América Mineiro 1:0,Brazil. Serie A,2018-05-31,CF,99,49,19,0,0,3,2,0.22,9,6,1,1,1,0,4,2,30,11,1,0,2,10,1,5,3,0,0
América Mineiro - São Paulo 1:3,Brazil. Serie A,2018-05-28,CF,16,10,4,0,0,1,0,0.04,2,2,0,0,0,0,1,1,4,2,1,0,1,2,0,1,1,0,0
América Mineiro - Botafogo 1:0,Brazil. Serie A,2018-05-20,CF,62,27,13,0,0,1,0,0.19,8,7,0,0,1,0,4,0,14,4,3,0,0,7,1,1,1,0,0
Vasco da Gama - América Mineiro 4:1,Brazil. Serie A,2018-05-06,0,6,8,2,0,0,0,0,0.0,2,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
CAP Patrocinense - Cruzeiro 1:1,Brazil. Mineiro 1,2018-03-11,CF,59,22,12,0,0,1,0,0.05,10,7,1,1,1,0,4,3,10,5,1,0,1,5,2,0,0,0,0
Cruzeiro - Vasco da Gama 0:1,Brazil. Serie A,2017-11-26,LCMF,21,14,5,0,0,0,0,0.0,3,3,0,0,0,0,2,1,11,2,1,0,1,2,0,2,1,0,0
Vitória - Cruzeiro 1:1,Brazil. Serie A,2017-11-19,CF,19,14,7,0,0,0,0,0.0,4,3,1,0,0,0,1,1,9,3,1,0,0,7,1,0,0,0,0
Cruzeiro - Avaí 2:2,Brazil. Serie A,2017-11-15,CF,21,16,5,1,0,1,1,0.76,5,3,0,0,0,0,3,0,8,1,0,0,2,3,1,1,0,0,0
