Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Sergipe - Atlético Alagoinhas 4:0,Brazil. Copa do Nordeste,2023-02-05,CF,70,34,12,1,0,3,1,0.86,8,5,0,0,0,0,1,1,12,6,3,2,1,12,1,3,3,10,0
Sergipe - América SE 2:0,Brazil. Sergipano,2023-01-31,CF,15,4,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
Fortaleza - Sergipe 1:0,Brazil. Copa do Nordeste,2023-01-27,CF,103,52,22,0,0,2,2,0.42,14,14,0,0,0,0,2,0,20,6,4,1,1,8,0,0,0,0,0
CRB - Sergipe 1:0,Brazil. Copa do Nordeste,2023-01-22,CF,80,28,13,0,0,0,0,0.0,9,7,1,0,0,0,1,1,11,6,5,3,0,5,0,0,0,0,0
Sergipe - Dorense 1:0,Brazil. Sergipano,2023-01-14,CF,96,44,24,1,0,2,1,0.6,15,13,0,0,1,0,2,0,18,7,4,2,3,9,1,3,2,0,0
São Caetano - Juventus 0:2,Brazil. Paulista A2,2022-03-19,CF,69,35,16,0,0,0,0,0.0,9,4,0,0,2,0,1,0,21,12,10,8,2,14,5,1,1,0,0
Juventus - São Bento 0:0,Brazil. Paulista A2,2022-03-13,CF,75,42,22,0,0,0,0,0.0,17,12,0,0,0,0,0,0,18,9,4,4,0,15,3,2,0,0,0
Monte Azul - Juventus 2:1,Brazil. Paulista A2,2022-03-06,CF,60,34,11,0,0,2,1,0.11,5,2,0,0,0,0,2,0,19,8,8,4,1,10,3,0,0,47,0
Juventus - Portuguesa Santista 0:0,Brazil. Paulista A2,2022-03-02,CF,72,59,32,0,0,2,1,0.07,19,14,1,0,1,1,4,3,32,17,15,9,3,17,3,3,3,0,0
Taubaté - Juventus 0:0,Brazil. Paulista A2,2022-02-26,CF,72,56,26,0,0,5,2,0.26,15,11,3,2,0,0,1,0,26,13,13,8,3,18,6,3,0,0,0
Juventus - Velo Clube 0:2,Brazil. Paulista A2,2022-02-23,CF,50,37,14,0,0,3,0,0.68,9,8,0,0,0,0,2,1,18,6,7,4,2,6,3,1,0,0,0
Juventus - Osasco Audax 2:3,Brazil. Paulista A2,2022-02-20,CF,97,73,35,0,0,6,3,0.62,22,19,0,0,1,0,5,0,38,14,15,9,3,15,3,5,5,0,0
Portuguesa - Juventus 1:0,Brazil. Paulista A2,2022-02-17,CF,103,41,20,0,0,0,0,0.0,14,11,0,0,1,1,0,0,21,9,8,4,1,7,2,1,1,0,0
Oeste - Juventus 1:1,Brazil. Paulista A2,2022-02-12,CF,76,55,26,1,0,2,2,0.15,17,10,1,0,0,0,5,4,29,14,12,7,1,11,2,2,0,0,0
Juventus - Linense 0:1,Brazil. Paulista A2,2022-02-09,LW,47,24,18,0,0,0,0,0.0,11,10,1,1,0,0,0,0,10,8,1,1,1,2,1,1,0,0,0
RB Brasil - Juventus 0:1,Brazil. Paulista A2,2022-02-06,CF,56,45,21,0,0,1,0,0.07,8,8,0,0,0,0,1,1,29,13,14,8,2,12,3,0,0,0,0
Juventus - XV de Piracicaba 1:0,Brazil. Paulista A2,2022-02-02,LW,67,31,11,1,0,2,2,0.23,10,4,2,0,1,0,0,0,15,5,9,4,1,8,2,2,0,0,0
Rio Claro - Juventus 1:2,Brazil. Paulista A2,2022-01-30,CF,96,82,32,1,0,2,1,0.17,15,11,1,1,0,0,1,1,50,20,26,11,5,27,5,5,1,73,0
Juventus - EC Lemense 1:0,Brazil. Paulista A2,2022-01-26,LW,72,45,21,1,0,2,2,1.58,16,11,1,0,1,0,3,1,22,8,8,2,2,13,5,3,2,0,0
Itabaiana - Murici 1:0,Brazil. Serie D,2021-07-04,CF,65,69,22,0,0,2,0,0.12,14,10,0,0,0,0,0,0,34,12,13,5,1,16,2,2,2,43,0
Sergipe - Murici 2:1,Brazil. Serie D,2021-06-27,CF,101,78,32,0,0,4,1,0.81,24,20,1,1,0,0,3,2,39,11,12,4,1,16,1,2,0,0,0
Murici - ASA 0:1,Brazil. Serie D,2021-06-19,CF,87,56,25,0,0,2,1,0.12,21,15,0,0,1,1,4,3,27,9,9,2,2,11,2,4,4,0,0
Murici - Bahia de Feira 2:0,Brazil. Serie D,2021-06-12,CF,72,69,31,1,0,2,1,0.4,23,17,1,0,0,0,4,2,39,12,12,3,0,15,3,3,1,0,0
Retrô - Murici 1:0,Brazil. Serie D,2021-06-06,CF,66,53,21,0,0,0,0,0.0,13,9,1,0,0,0,0,0,24,10,10,5,1,9,2,2,1,0,0
Jacyobá - CEO 2:0,Brazil. Alagoano,2021-04-25,"AMF, CF, RAMF",90,81,45,1,0,5,4,1.0,29,26,2,2,1,1,3,3,27,14,5,2,3,10,2,3,3,32,0
Jacyobá - CSE 2:2,Brazil. Alagoano,2021-04-11,RW,87,79,34,0,0,2,0,0.1,23,15,1,0,2,0,1,0,39,19,6,3,3,14,6,8,2,35,0
Coruripe - Jacyobá 1:1,Brazil. Alagoano,2021-03-20,"LAMF, RAMF",96,81,40,0,0,3,0,0.01,31,24,1,1,1,1,6,2,38,15,7,1,4,19,3,7,4,0,0
Jacyobá - Murici 0:2,Brazil. Alagoano,2021-03-07,"LAMF, RAMF",97,76,31,0,0,2,1,0.28,20,14,0,0,2,0,9,2,39,16,9,7,2,14,1,7,4,37,0
Jacyobá - CSA 1:4,Brazil. Alagoano,2021-02-26,RWF,94,80,41,1,0,1,1,0.1,30,25,2,0,2,1,3,2,25,13,2,1,2,10,2,12,9,0,0
ASA - Jacyobá 0:0,Brazil. Alagoano,2021-02-21,"CF, RAMF",87,77,40,0,0,2,1,0.15,35,29,2,1,1,0,3,1,27,8,7,1,1,14,2,10,7,64,0
CEO - Murici 0:0,Brazil. Alagoano,2020-08-01,"AMF, RAMF",108,64,32,0,0,1,0,0.02,13,10,0,0,0,0,0,0,39,21,15,9,4,14,3,4,1,0,0
Jacyobá - CEO 0:1,Brazil. Alagoano,2020-07-29,AMF,95,90,53,0,0,3,0,0.04,53,38,6,4,2,2,6,3,32,14,2,0,0,15,0,5,4,0,0
Frei Paulistano - Itabaiana 3:1,Brazil. Sergipano,2019-04-20,CF,27,38,17,1,0,1,1,0.53,11,10,0,0,1,0,5,2,14,4,2,1,2,4,1,1,0,0,0
Frei Paulistano - Itabaiana 0:0,Brazil. Sergipano,2019-03-23,LAMF,26,28,7,0,0,0,0,0.0,7,2,1,0,2,0,5,1,18,5,4,1,2,8,1,0,0,0,0
Frei Paulistano - Lagarto 1:2,Brazil. Sergipano,2019-01-27,CF,43,47,25,0,0,3,3,0.54,21,16,2,2,0,0,2,1,18,5,5,1,2,10,0,3,2,0,0
Sergipe - Frei Paulistano 4:0,Brazil. Sergipano,2019-01-19,RW,95,60,40,0,0,1,0,0.0,36,30,1,0,2,0,3,2,18,10,5,3,1,12,4,4,2,0,0
