Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Neftchi - Sabail 3:0,Azerbaijan. Premyer Liqa,18/2/2023,RCB,66,53,34,0,0,0,0,0,35,28,16,9,0,0,0,0,3,2,0,0,7,10,5,5,1,48,0
Sabail - Zira 2:0,Azerbaijan. Premyer Liqa,12/2/2023,RCB,97,60,38,0,0,1,0,0.27,31,22,11,4,0,0,0,0,19,15,6,6,5,8,4,17,3,0,0
Sabah - Sabail 4:0,Azerbaijan. Premyer Liqa,6/2/2023,RCB,94,46,25,0,0,0,0,0,25,15,5,2,0,0,0,0,12,7,3,2,5,7,5,8,1,62,0
Sabail - Kapaz 1:0,Azerbaijan. Premyer Liqa,31/1/2023,RCB,99,48,31,0,0,1,0,0.14,29,23,5,4,0,0,0,0,11,7,3,2,9,9,7,12,0,70,0
Shamakhi FK - Sabail 2:1,Azerbaijan. Premyer Liqa,26/1/2023,RCB,99,61,48,0,0,0,0,0,41,38,4,2,0,0,0,0,14,9,9,5,5,4,0,7,0,0,0
Legia Warszawa - Sabail 2:2,World. Club Friendlies,8/1/2023,RCB,45,40,25,1,0,1,1,0.12,24,21,6,5,0,0,1,0,6,1,1,0,8,7,5,2,0,0,0
Neftchi - Sabail 3:1,Azerbaijan. Premyer Liqa,27/11/2022,"RCB, RCB3",98,65,39,0,0,0,0,0,37,27,6,2,0,0,4,3,17,11,1,1,8,8,4,11,1,81,0
Sabail - Sabah 0:2,Azerbaijan. Premyer Liqa,6/11/2022,CB,74,41,25,0,0,1,0,0.04,18,13,7,3,0,0,0,0,16,11,5,2,5,8,4,10,0,0,0
Kapaz - Sabail 3:0,Azerbaijan. Premyer Liqa,29/10/2022,"LCB, RCB",96,52,39,0,0,0,0,0,33,28,10,7,0,0,0,0,7,5,2,2,9,7,5,9,1,52,0
Sabail - Shamakhi FK 0:0,Azerbaijan. Premyer Liqa,23/10/2022,LCB,98,79,60,0,0,2,1,0.4,52,44,9,6,0,0,3,2,17,12,6,4,11,12,10,16,0,0,0
Turan-T - Sabail 2:2,Azerbaijan. Premyer Liqa,15/10/2022,LCB,52,23,19,0,0,1,1,0.2,11,10,1,1,0,0,0,0,8,6,5,4,2,1,1,7,2,0,0
