Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Figueirense - Paysandu 2:1,Brazil. Serie C,3/9/2022,CF,35,17,5,1,0,1,1,0.18,3,2,0,0,0,0,1,1,9,2,1,0,0,4,2,1,1,71,0
Figueirense - Vitória 5:1,Brazil. Serie C,28/8/2022,CF,21,7,3,1,0,1,1,0.5,1,1,0,0,0,0,1,1,3,1,2,0,0,2,0,0,0,0,0
ABC - Figueirense 2:1,Brazil. Serie C,20/8/2022,0,13,5,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0
Figueirense - ABC 2:1,Brazil. Serie C,13/8/2022,CF,25,15,8,0,0,0,0,0,3,2,0,0,0,0,3,1,10,5,3,3,0,3,0,2,2,0,0
Figueirense - EC São José 3:2,Brazil. Serie C,1/8/2022,CF,22,15,4,0,0,0,0,0,1,1,0,0,0,0,1,0,9,3,3,1,1,3,1,1,1,0,0
Paysandu - Figueirense 1:1,Brazil. Serie C,25/7/2022,CF,34,17,5,1,0,1,1,0.19,2,2,0,0,0,0,2,1,8,2,2,1,0,5,1,1,0,0,0
Figueirense - Botafogo SP 2:1,Brazil. Serie C,16/7/2022,CF,14,9,6,0,0,2,1,0.33,1,1,0,0,0,0,2,2,3,3,0,0,0,1,0,0,0,0,0
Figueirense - Campinense 4:0,Brazil. Serie C,9/7/2022,CF,57,35,13,0,0,0,0,0,6,6,0,0,0,0,6,1,20,6,4,2,0,9,0,2,2,0,0
Vitória - Figueirense 2:0,Brazil. Serie C,3/7/2022,CF,99,43,13,0,0,1,0,0.23,7,7,0,0,0,0,2,1,19,4,5,1,0,8,0,0,0,0,0
Figueirense - Remo 0:0,Brazil. Serie C,28/6/2022,CF,43,16,7,0,0,0,0,0,7,5,1,0,0,0,1,0,6,2,0,0,0,3,0,0,0,0,0
Manaus - Figueirense 1:1,Brazil. Serie C,18/6/2022,CF,80,47,13,0,0,2,1,0.34,10,7,0,0,0,0,2,0,23,5,8,2,3,11,4,1,1,0,0
Figueirense - Confiança 0:0,Brazil. Serie C,12/6/2022,CF,36,14,5,0,0,1,0,0.07,3,3,0,0,0,0,0,0,7,2,1,0,1,3,0,1,1,0,0
