Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Åtvidaberg - Frej 0:1,Sweden. Superettan,2016-06-26,CF,93,65,28,0,0,3,1,0.35,24,18,3,1,1,1,4,2,29,9,6,2,3,9,1,3,3,14,0
Ängelholm - Åtvidaberg 0:3,Sweden. Superettan,2016-06-18,AMF,96,80,35,2,0,5,3,0.45,29,19,2,2,1,0,8,3,39,12,6,1,3,20,6,2,2,0,0
Åtvidaberg - Halmstad 1:1,Sweden. Superettan,2016-06-11,RW,99,94,52,0,0,6,2,0.13,35,25,8,2,8,5,10,7,39,18,6,2,7,14,5,7,2,46,0
Dalkurd - Åtvidaberg 5:0,Sweden. Superettan,2016-06-04,"AMF, LAMF, CF",94,51,27,0,0,2,0,0.45,19,13,4,2,4,2,1,1,22,11,8,4,1,13,4,2,0,0,0
Åtvidaberg - AFC United 4:0,Sweden. Superettan,2016-05-23,CF,95,81,47,2,0,5,2,0.39,42,33,4,3,1,0,3,3,27,10,7,1,1,19,4,1,1,57,0
Syrianska - Åtvidaberg 2:0,Sweden. Superettan,2016-05-15,"CF, RW",94,78,33,0,0,2,1,0.13,35,22,3,1,2,1,8,4,33,9,5,1,0,20,3,4,2,0,0
Åtvidaberg - Trelleborg 2:0,Sweden. Superettan,2016-05-07,CF,95,77,41,0,0,5,1,0.12,33,27,1,1,1,0,3,3,23,8,4,0,1,18,5,1,1,0,0
Degerfors - Åtvidaberg 0:3,Sweden. Superettan,2016-04-30,CF,76,47,21,1,0,2,1,0.07,18,11,0,0,1,1,3,1,20,9,6,2,2,17,3,0,0,0,0
Åtvidaberg - Assyriska 2:1,Sweden. Superettan,2016-04-24,"LW, CF",95,86,50,0,1,4,1,0.39,48,36,3,1,4,1,6,4,28,12,3,2,4,12,0,8,6,0,0
Varberg - Åtvidaberg 2:1,Sweden. Superettan,2016-04-02,"LW, RW",94,76,37,1,0,2,2,0.09,34,23,6,2,3,1,5,2,24,10,3,1,2,14,3,5,3,93,0
Timor-Leste - Palestine 1:1,Asia. AFC World Cup Qualifiers,2015-10-08,CF,81,30,13,0,0,0,0,0.0,15,10,0,0,3,0,0,0,12,3,6,1,2,9,2,2,2,0,0
Palestine - UAE 0:0,Asia. AFC World Cup Qualifiers,2015-09-08,CF,20,14,3,0,0,1,1,0.03,0,0,0,0,0,0,1,0,12,2,1,0,0,4,2,0,0,0,0
