Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Persib - Persis Solo 3:1,Indonesia. Liga 1 22/23,4/4/2023,RCB,113,49,25,0,0,3,1,0.79,17,12,5,1,0,0,0,0,15,7,4,2,2,8,3,6,0,0,0
Persija - Persib 2:0,Indonesia. Liga 1 22/23,31/3/2023,"CB, RCB3",103,61,41,0,0,1,0,0.14,34,29,9,5,0,0,0,0,17,11,6,5,5,10,5,13,3,46,0
Persib - Bhayangkara F.C. 2:1,Indonesia. Liga 1 22/23,24/3/2023,RCB3,98,62,41,0,0,1,1,0.13,39,29,4,1,0,0,1,1,14,8,6,3,5,10,3,11,2,0,0
Persib - Dewa United 2:1,Indonesia. Liga 1 22/23,20/3/2023,RCB,68,66,62,0,0,1,1,0.04,54,52,7,5,0,0,0,0,8,8,6,6,0,2,0,8,3,0,0
Persebaya Surabaya - Persib 2:2,Indonesia. Liga 1 22/23,13/3/2023,"RCB, RCB3",96,70,53,0,0,0,0,0,46,40,17,12,0,0,0,0,16,12,6,3,4,6,1,9,2,0,0
Persib - Persik Kediri 0:2,Indonesia. Liga 1 22/23,8/3/2023,"RCB, RCB3",96,61,41,0,0,1,1,0.2,35,29,13,9,0,0,0,0,19,10,4,1,4,8,2,11,2,28,0
Persib - Arema 1:0,Indonesia. Liga 1 22/23,23/2/2023,CB,98,64,42,0,0,0,0,0,32,25,8,4,0,0,0,0,15,9,5,1,10,9,3,13,1,43,0
Rans Nusantara - Persib 1:3,Indonesia. Liga 1 22/23,19/2/2023,RCB3,97,91,71,0,0,0,0,0,69,59,9,4,0,0,1,1,13,7,3,1,4,6,2,2,0,0,0
Persib - PSM 1:2,Indonesia. Liga 1 22/23,14/2/2023,RCB,102,56,38,0,0,0,0,0,44,35,10,2,0,0,0,0,9,2,4,0,4,6,1,6,2,0,0
Bali United - Persib 1:1,Indonesia. Liga 1 22/23,10/2/2023,"CB, RCB3",87,70,46,0,0,0,0,0,38,34,7,6,1,1,1,1,19,9,3,1,7,8,4,5,0,24,0
Persib - PSS Sleman 2:0,Indonesia. Liga 1 22/23,5/2/2023,RCB3,98,66,41,0,0,0,0,0,41,34,8,2,0,0,0,0,10,4,1,1,3,8,1,4,1,0,0
PSIS Semarang - Persib 1:3,Indonesia. Liga 1 22/23,31/1/2023,RCB3,98,74,49,0,0,0,0,0,50,40,12,6,0,0,0,0,9,6,2,2,15,11,6,10,0,0,0
Madura United - Persib 0:1,Indonesia. Liga 1 22/23,20/1/2023,RCB3,88,69,45,0,0,0,0,0,48,41,15,10,1,0,0,0,14,4,2,0,2,4,1,2,1,48,86
Persib - Persija 1:0,Indonesia. Liga 1 22/23,11/1/2023,RCB3,97,59,42,0,0,1,0,0.11,37,28,9,6,0,0,0,0,10,10,6,6,9,12,7,10,2,0,0
Persikabo 1973 - Persib 1:1,Indonesia. Liga 1 22/23,24/12/2022,CB,67,80,64,0,0,1,1,0.2,63,57,8,5,0,0,0,0,11,6,2,2,1,7,3,6,1,37,0
Persib - Persita 1:0,Indonesia. Liga 1 22/23,21/12/2022,CB,100,36,19,0,0,0,0,0,20,13,3,0,0,0,0,0,11,6,3,3,8,9,6,8,0,0,0
Persis Solo - Persib 1:2,Indonesia. Liga 1 22/23,18/12/2022,"CB, RCB",97,43,17,0,0,0,0,0,21,12,4,0,0,0,1,0,14,4,2,1,7,8,2,4,1,0,0
Persib - Persebaya Surabaya 2:1,Indonesia. Liga 1 22/23,10/12/2022,CB,49,29,19,0,0,0,0,0,19,17,6,6,0,0,0,0,4,2,2,2,2,3,3,6,0,11,0
Persik Kediri - Persib 0:3,Indonesia. Liga 1 22/23,7/12/2022,CB,97,82,64,0,0,0,0,0,69,58,9,3,0,0,0,0,8,6,1,1,6,11,8,10,0,0,0
Persib - Barito Putera 5:2,Indonesia. Liga 1 22/23,16/9/2022,CB,96,57,48,1,0,1,1,0.23,47,39,9,4,0,0,0,0,7,6,3,3,1,8,4,7,0,0,0
Arema - Persib 1:2,Indonesia. Liga 1 22/23,11/9/2022,CB,96,50,31,0,0,0,0,0,34,23,6,1,0,0,0,0,8,5,3,2,10,11,6,12,0,0,0
Persib - Rans Nusantara 2:1,Indonesia. Liga 1 22/23,4/9/2022,CB,97,53,40,0,0,0,0,0,37,33,4,2,0,0,0,0,11,7,5,2,3,5,3,7,0,0,0
Persib - Bali United 2:3,Indonesia. Liga 1 22/23,23/8/2022,RCB,105,83,55,0,0,2,0,0.25,51,45,10,6,0,0,1,1,20,8,10,4,3,7,0,12,0,48,0
PSS Sleman - Persib 0:1,Indonesia. Liga 1 22/23,19/8/2022,RCB,97,51,29,0,0,0,0,0,17,12,5,1,0,0,0,0,14,8,3,3,8,7,4,10,0,40,0
Persib - PSIS Semarang 2:1,Indonesia. Liga 1 22/23,13/8/2022,RCB,97,65,49,0,0,0,0,0,50,45,6,3,1,0,1,0,11,4,5,1,3,9,3,10,0,0,0
Borneo FC - Persib 4:1,Indonesia. Liga 1 22/23,7/8/2022,RCB,94,49,24,0,0,1,0,0.04,18,7,4,0,0,0,0,0,20,14,7,3,5,9,5,9,0,45,0
Persib - Madura United 1:3,Indonesia. Liga 1 22/23,30/7/2022,RCB,98,51,37,0,0,1,0,0.01,31,26,7,4,0,0,0,0,12,7,5,2,3,10,4,9,1,0,0
